,Postcode,OA_Code,Total,Percentage
L11 1DS: E00033428,L11 1DS,E00033428,32,84
L11 1DS: E00033460,L11 1DS,E00033460,6,16
L11 1DU: E00033460,L11 1DU,E00033460,58,37
L11 1DU: E00033464,L11 1DU,E00033464,98,63
L11 1EF: E00033460,L11 1EF,E00033460,45,96
L11 1EF: E00176774,L11 1EF,E00176774,2,4
L11 1EP: E00033565,L11 1EP,E00033565,28,88
L11 1EP: E00033566,L11 1EP,E00033566,4,13
L11 2SE: E00033784,L11 2SE,E00033784,3,23
L11 2SE: E00176768,L11 2SE,E00176768,10,77
L11 2SF: E00033784,L11 2SF,E00033784,47,96
L11 2SF: E00176768,L11 2SF,E00176768,2,4
L11 2SJ: E00033784,L11 2SJ,E00033784,71,93
L11 2SJ: E00033791,L11 2SJ,E00033791,5,7
L11 2SN: E00033440,L11 2SN,E00033440,63,58
L11 2SN: E00033791,L11 2SN,E00033791,45,42
L11 2SP: E00033440,L11 2SP,E00033440,20,49
L11 2SP: E00033791,L11 2SP,E00033791,21,51
L11 2TA: E00033796,L11 2TA,E00033796,16,53
L11 2TA: E00176753,L11 2TA,E00176753,14,47
L11 2TF: E00176753,L11 2TF,E00176753,25,29
L11 2TF: E00176759,L11 2TF,E00176759,62,71
L11 2TH: E00033794,L11 2TH,E00033794,9,32
L11 2TH: E00176753,L11 2TH,E00176753,5,18
L11 2TH: E00176759,L11 2TH,E00176759,14,50
L11 2TJ: E00033794,L11 2TJ,E00033794,55,52
L11 2TJ: E00176753,L11 2TJ,E00176753,50,48
L11 2TL: E00033457,L11 2TL,E00033457,62,81
L11 2TL: E00033794,L11 2TL,E00033794,15,19
L11 2TP: E00033457,L11 2TP,E00033457,34,47
L11 2TP: E00033793,L11 2TP,E00033793,39,53
L11 2UE: E00033458,L11 2UE,E00033458,24,50
L11 2UE: E00033791,L11 2UE,E00033791,24,50
L11 2UF: E00033791,L11 2UF,E00033791,48,92
L11 2UF: E00033793,L11 2UF,E00033793,4,8
L11 2UG: E00033796,L11 2UG,E00033796,43,83
L11 2UG: E00176753,L11 2UG,E00176753,9,17
L11 2UW: E00033796,L11 2UW,E00033796,4,20
L11 2UW: E00176753,L11 2UW,E00176753,6,30
L11 2UW: E00176762,L11 2UW,E00176762,10,50
L11 2WX: E00033428,L11 2WX,E00033428,41,62
L11 2WX: E00033460,L11 2WX,E00033460,25,38
L11 2YG: E00033428,L11 2YG,E00033428,10,18
L11 2YG: E00033460,L11 2YG,E00033460,46,82
L11 2YH: E00033460,L11 2YH,E00033460,17,47
L11 2YH: E00176774,L11 2YH,E00176774,19,53
L11 3DF: E00034130,L11 3DF,E00034130,6,7
L11 3DF: E00034136,L11 3DF,E00034136,78,93
L11 3DY: E00034138,L11 3DY,E00034138,2,5
L11 3DY: E00176696,L11 3DY,E00176696,41,95
L11 3EQ: E00034131,L11 3EQ,E00034131,26,93
L11 3EQ: E00034136,L11 3EQ,E00034136,2,7
L11 4BH: E00033759,L11 4BH,E00033759,5,20
L11 4BH: E00033775,L11 4BH,E00033775,8,32
L11 4BH: E00176763,L11 4BH,E00176763,12,48
L11 4RJ: E00033775,L11 4RJ,E00033775,7,8
L11 4RJ: E00033779,L11 4RJ,E00033779,80,92
L11 4RW: E00033779,L11 4RW,E00033779,69,99
L11 4RW: E00165763,L11 4RW,E00165763,1,1
L11 4SB: E00033752,L11 4SB,E00033752,37,59
L11 4SB: E00033775,L11 4SB,E00033775,26,41
L11 4SE: E00033752,L11 4SE,E00033752,46,92
L11 4SE: E00033775,L11 4SE,E00033775,4,8
L11 4SS: E00033759,L11 4SS,E00033759,50,94
L11 4SS: E00176764,L11 4SS,E00176764,3,6
L11 4SU: E00165763,L11 4SU,E00165763,4,9
L11 4SU: E00176763,L11 4SU,E00176763,31,67
L11 4SU: E00176764,L11 4SU,E00176764,11,24
L11 4TA: E00033759,L11 4TA,E00033759,25,57
L11 4TA: E00176764,L11 4TA,E00176764,19,43
L11 4TE: E00033759,L11 4TE,E00033759,16,38
L11 4TE: E00176764,L11 4TE,E00176764,26,62
L11 4TQ: E00165763,L11 4TQ,E00165763,51,88
L11 4TQ: E00176764,L11 4TQ,E00176764,7,12
L11 4UD: E00033775,L11 4UD,E00033775,96,76
L11 4UD: E00033784,L11 4UD,E00033784,30,24
L11 4UR: E00033749,L11 4UR,E00033749,40,26
L11 4UR: E00176761,L11 4UR,E00176761,111,74
L11 4UW: E00033784,L11 4UW,E00033784,55,25
L11 4UW: E00033788,L11 4UW,E00033788,163,75
L11 6GA: E00033745,L11 6GA,E00033745,2,8
L11 6GA: E00033747,L11 6GA,E00033747,22,92
L11 6LE: E00033747,L11 6LE,E00033747,20,43
L11 6LE: E00033804,L11 6LE,E00033804,26,57
L11 6LP: E00033745,L11 6LP,E00033745,9,45
L11 6LP: E00033804,L11 6LP,E00033804,11,55
L11 6LY: E00033746,L11 6LY,E00033746,28,93
L11 6LY: E00033758,L11 6LY,E00033758,2,7
L11 7AL: E00034115,L11 7AL,E00034115,2,4
L11 7AL: E00034143,L11 7AL,E00034143,51,96
L11 7AP: E00034115,L11 7AP,E00034115,3,4
L11 7AP: E00034134,L11 7AP,E00034134,72,96
L11 7AS: E00034115,L11 7AS,E00034115,57,92
L11 7AS: E00034139,L11 7AS,E00034139,5,8
L11 7BG: E00034115,L11 7BG,E00034115,1,1
L11 7BG: E00034134,L11 7BG,E00034134,95,99
L11 7BT: E00034142,L11 7BT,E00034142,5,14
L11 7BT: E00034146,L11 7BT,E00034146,30,86
L11 7BX: E00034142,L11 7BX,E00034142,64,97
L11 7BX: E00176631,L11 7BX,E00176631,2,3
L11 7BZ: E00176631,L11 7BZ,E00176631,103,99
L11 7BZ: E00176632,L11 7BZ,E00176632,1,1
L11 7DF: E00034140,L11 7DF,E00034140,1,1
L11 7DF: E00034146,L11 7DF,E00034146,90,99
L11 8NN: E00033438,L11 8NN,E00033438,4,13
L11 8NN: E00033447,L11 8NN,E00033447,26,87
L11 9AU: E00033759,L11 9AU,E00033759,16,21
L11 9AU: E00033769,L11 9AU,E00033769,62,79
L11 9BT: E00033805,L11 9BT,E00033805,60,67
L11 9BT: E00176768,L11 9BT,E00176768,29,33
L11 9DE: E00033805,L11 9DE,E00033805,20,32
L11 9DE: E00176768,L11 9DE,E00176768,42,68
L11 9EA: E00033769,L11 9EA,E00033769,20,38
L11 9EA: E00033781,L11 9EA,E00033781,32,62
L12 0HA: E00033532,L12 0HA,E00033532,22,73
L12 0HA: E00033785,L12 0HA,E00033785,8,27
L12 0HX: E00033564,L12 0HX,E00033564,43,24
L12 0HX: E00033798,L12 0HX,E00033798,134,76
L12 1LD: E00033550,L12 1LD,E00033550,2,33
L12 1LD: E00165713,L12 1LD,E00165713,4,67
L12 2AG: E00033545,L12 2AG,E00033545,3,5
L12 2AG: E00033551,L12 2AG,E00033551,60,95
L12 2AH: E00033294,L12 2AH,E00033294,11,28
L12 2AH: E00033559,L12 2AH,E00033559,28,72
L12 2AR: E00033561,L12 2AR,E00033561,4,10
L12 2AR: E00165713,L12 2AR,E00165713,35,90
L12 2AY: E00033299,L12 2AY,E00033299,65,71
L12 2AY: E00033561,L12 2AY,E00033561,27,29
L12 2BB: E00033559,L12 2BB,E00033559,26,90
L12 2BB: E00033560,L12 2BB,E00033560,3,10
L12 4BA: E00033568,L12 4BA,E00033568,14,42
L12 4BA: E00033570,L12 4BA,E00033570,19,58
L12 4DA: E00176601,L12 4DA,E00176601,20,43
L12 4DA: E00176755,L12 4DA,E00176755,26,57
L12 4WU: E00033665,L12 4WU,E00033665,28,20
L12 4WU: E00176598,L12 4WU,E00176598,33,24
L12 4WU: E00176600,L12 4WU,E00176600,76,55
L12 4WX: E00033665,L12 4WX,E00033665,14,82
L12 4WX: E00176598,L12 4WX,E00176598,3,18
L12 4XE: E00033524,L12 4XE,E00033524,22,48
L12 4XE: E00033570,L12 4XE,E00033570,24,52
L12 4XR: E00033532,L12 4XR,E00033532,4,9
L12 4XR: E00033568,L12 4XR,E00033568,41,91
L12 4XT: E00033524,L12 4XT,E00033524,2,4
L12 4XT: E00033568,L12 4XT,E00033568,13,24
L12 4XT: E00033570,L12 4XT,E00033570,39,72
L12 4XW: E00033568,L12 4XW,E00033568,5,11
L12 4XW: E00033570,L12 4XW,E00033570,41,89
L12 4XX: E00033524,L12 4XX,E00033524,25,42
L12 4XX: E00033568,L12 4XX,E00033568,34,58
L12 4YG: E00176598,L12 4YG,E00176598,59,26
L12 4YG: E00176600,L12 4YG,E00176600,135,59
L12 4YG: E00176601,L12 4YG,E00176601,33,15
L12 4YQ: E00176601,L12 4YQ,E00176601,8,38
L12 4YQ: E00176755,L12 4YQ,E00176755,13,62
L12 4YW: E00176598,L12 4YW,E00176598,14,61
L12 4YW: E00176601,L12 4YW,E00176601,9,39
L12 4ZE: E00033665,L12 4ZE,E00033665,20,21
L12 4ZE: E00176598,L12 4ZE,E00176598,74,79
L12 4ZG: E00033665,L12 4ZG,E00033665,5,26
L12 4ZG: E00176598,L12 4ZG,E00176598,14,74
L12 4ZL: E00033537,L12 4ZL,E00033537,4,15
L12 4ZL: E00033573,L12 4ZL,E00033573,22,85
L12 4ZN: E00033665,L12 4ZN,E00033665,31,79
L12 4ZN: E00176598,L12 4ZN,E00176598,8,21
L12 5HQ: E00033535,L12 5HQ,E00033535,15,19
L12 5HQ: E00033538,L12 5HQ,E00033538,62,81
L12 5NH: E00033530,L12 5NH,E00033530,54,79
L12 5NH: E00033565,L12 5NH,E00033565,14,21
L12 6QN: E00033664,L12 6QN,E00033664,5,8
L12 6QN: E00033667,L12 6QN,E00033667,58,92
L12 6QP: E00033564,L12 6QP,E00033564,5,14
L12 6QP: E00033630,L12 6QP,E00033630,30,86
L12 6QR: E00033659,L12 6QR,E00033659,3,43
L12 6QR: E00033663,L12 6QR,E00033663,4,57
L12 6QW: E00033624,L12 6QW,E00033624,8,42
L12 6QW: E00033665,L12 6QW,E00033665,11,58
L12 6QX: E00033631,L12 6QX,E00033631,41,93
L12 6QX: E00033667,L12 6QX,E00033667,3,7
L12 6RB: E00033630,L12 6RB,E00033630,7,6
L12 6RB: E00033659,L12 6RB,E00033659,113,90
L12 6RB: E00033663,L12 6RB,E00033663,5,4
L12 6RS: E00033630,L12 6RS,E00033630,63,83
L12 6RS: E00033659,L12 6RS,E00033659,13,17
L12 6RY: E00033631,L12 6RY,E00033631,30,88
L12 6RY: E00176599,L12 6RY,E00176599,4,12
L12 7JQ: E00033535,L12 7JQ,E00033535,4,29
L12 7JQ: E00033574,L12 7JQ,E00033574,10,71
L12 8QH: E00033542,L12 8QH,E00033542,2,4
L12 8QH: E00033548,L12 8QH,E00033548,53,96
L12 8RA: E00033528,L12 8RA,E00033528,6,6
L12 8RA: E00033554,L12 8RA,E00033554,99,94
L12 9EB: E00033528,L12 9EB,E00033528,27,69
L12 9EB: E00033553,L12 9EB,E00033553,12,31
L12 9ED: E00033528,L12 9ED,E00033528,87,99
L12 9ED: E00033554,L12 9ED,E00033554,1,1
L12 9EN: E00033294,L12 9EN,E00033294,4,9
L12 9EN: E00033295,L12 9EN,E00033295,41,91
L12 9ES: E00033295,L12 9ES,E00033295,59,60
L12 9ES: E00033552,L12 9ES,E00033552,39,40
L12 9HL: E00033289,L12 9HL,E00033289,11,55
L12 9HL: E00033625,L12 9HL,E00033625,9,45
L12 9JT: E00033289,L12 9JT,E00033289,2,3
L12 9JT: E00033292,L12 9JT,E00033292,70,97
L1  2SU: E00176616,L1  2SU,E00176616,3,2
L1  2SU: E00176693,L1  2SU,E00176693,161,98
L13 0AD: E00033525,L13 0AD,E00033525,3,4
L13 0AD: E00033527,L13 0AD,E00033527,72,96
L13 0AS: E00034019,L13 0AS,E00034019,9,10
L13 0AS: E00034035,L13 0AS,E00034035,78,90
L13 0BH: E00033546,L13 0BH,E00033546,2,4
L13 0BH: E00034303,L13 0BH,E00034303,50,96
L13 0BL: E00033546,L13 0BL,E00033546,33,51
L13 0BL: E00034303,L13 0BL,E00034303,32,49
L13 2AE: E00034059,L13 2AE,E00034059,36,90
L13 2AE: E00165726,L13 2AE,E00165726,4,10
L13 2AJ: E00034059,L13 2AJ,E00034059,32,74
L13 2AJ: E00165726,L13 2AJ,E00165726,11,26
L13 2BA: E00034044,L13 2BA,E00034044,85,99
L13 2BA: E00034053,L13 2BA,E00034053,1,1
L13 2DP: E00034024,L13 2DP,E00034024,55,92
L13 2DP: E00034055,L13 2DP,E00034055,5,8
L13 2EL: E00034059,L13 2EL,E00034059,18,41
L13 2EL: E00165726,L13 2EL,E00165726,26,59
L13 3BG: E00034047,L13 3BG,E00034047,43,96
L13 3BG: E00034055,L13 3BG,E00034055,2,4
L13 3DB: E00034024,L13 3DB,E00034024,19,63
L13 3DB: E00034053,L13 3DB,E00034053,10,33
L13 3DB: E00034055,L13 3DB,E00034055,1,3
L13 3DG: E00034022,L13 3DG,E00034022,17,27
L13 3DG: E00034046,L13 3DG,E00034046,17,27
L13 3DG: E00034047,L13 3DG,E00034047,30,47
L13 3HT: E00034020,L13 3HT,E00034020,5,5
L13 3HT: E00034021,L13 3HT,E00034021,103,95
L13 4AH: E00033351,L13 4AH,E00033351,22,52
L13 4AH: E00034028,L13 4AH,E00034028,20,48
L13 4BN: E00033268,L13 4BN,E00033268,65,96
L13 4BN: E00033270,L13 4BN,E00033270,3,4
L13 5RR: E00033269,L13 5RR,E00033269,5,10
L13 5RR: E00033270,L13 5RR,E00033270,47,90
L13 5SG: E00033281,L13 5SG,E00033281,2,33
L13 5SG: E00034055,L13 5SG,E00034055,4,67
L13 5SH: E00033269,L13 5SH,E00033269,3,3
L13 5SH: E00033270,L13 5SH,E00033270,85,97
L13 5SW: E00033276,L13 5SW,E00033276,74,97
L13 5SW: E00033281,L13 5SW,E00033281,2,3
L13 5SY: E00033267,L13 5SY,E00033267,149,99
L13 5SY: E00033279,L13 5SY,E00033279,1,1
L13 5TF: E00033286,L13 5TF,E00033286,9,13
L13 5TF: E00034025,L13 5TF,E00034025,60,87
L13 5TY: E00033299,L13 5TY,E00033299,12,15
L13 5TY: E00033561,L13 5TY,E00033561,66,85
L13 5UB: E00033312,L13 5UB,E00033312,3,3
L13 5UB: E00033315,L13 5UB,E00033315,91,97
L13 5UD: E00033300,L13 5UD,E00033300,64,82
L13 5UD: E00034021,L13 5UD,E00034021,14,18
L13 5UH: E00033282,L13 5UH,E00033282,6,6
L13 5UH: E00033283,L13 5UH,E00033283,88,94
L13 5XD: E00033300,L13 5XD,E00033300,41,93
L13 5XD: E00034048,L13 5XD,E00034048,3,7
L13 6QT: E00034039,L13 6QT,E00034039,5,8
L13 6QT: E00034043,L13 6QT,E00034043,59,92
L13 6RQ: E00034023,L13 6RQ,E00034023,34,79
L13 6RQ: E00034043,L13 6RQ,E00034043,9,21
L13 7BB: E00034023,L13 7BB,E00034023,9,28
L13 7BB: E00034034,L13 7BB,E00034034,7,22
L13 7BB: E00034278,L13 7BB,E00034278,16,50
L13 7EB: E00034023,L13 7EB,E00034023,1,2
L13 7EB: E00034280,L13 7EB,E00034280,47,98
L13 7ET: E00034268,L13 7ET,E00034268,36,27
L13 7ET: E00034276,L13 7ET,E00034276,96,73
L13 7FG: E00034268,L13 7FG,E00034268,8,42
L13 7FG: E00034314,L13 7FG,E00034314,11,58
L13 7GA: E00034268,L13 7GA,E00034268,11,38
L13 7GA: E00034305,L13 7GA,E00034305,18,62
L13 7HA: E00034271,L13 7HA,E00034271,73,95
L13 7HA: E00034305,L13 7HA,E00034305,4,5
L13 8AG: E00034305,L13 8AG,E00034305,4,80
L13 8AG: E00034308,L13 8AG,E00034308,1,20
L13 8BY: E00034293,L13 8BY,E00034293,7,12
L13 8BY: E00034296,L13 8BY,E00034296,48,81
L13 8BY: E00034298,L13 8BY,E00034298,4,7
L13 8DW: E00033454,L13 8DW,E00033454,89,93
L13 8DW: E00034288,L13 8DW,E00034288,7,7
L13 8ED: E00034266,L13 8ED,E00034266,68,92
L13 8ED: E00034296,L13 8ED,E00034296,6,8
L13 9AQ: E00033456,L13 9AQ,E00033456,44,31
L13 9AQ: E00034292,L13 9AQ,E00034292,96,69
L13 9AS: E00033456,L13 9AS,E00033456,41,55
L13 9AS: E00034300,L13 9AS,E00034300,34,45
L13 9BA: E00033454,L13 9BA,E00033454,211,98
L13 9BA: E00034297,L13 9BA,E00034297,5,2
L13 9DE: E00033439,L13 9DE,E00033439,5,13
L13 9DE: E00033452,L13 9DE,E00033452,34,87
L13 9DN: E00033439,L13 9DN,E00033439,2,8
L13 9DN: E00033452,L13 9DN,E00033452,22,92
L14 0BA: E00033654,L14 0BA,E00033654,11,7
L14 0BA: E00033655,L14 0BA,E00033655,107,69
L14 0BA: E00033658,L14 0BA,E00033658,38,24
L14 0LX: E00032691,L14 0LX,E00032691,26,68
L14 0LX: E00032873,L14 0LX,E00032873,12,32
L14 0NA: E00033309,L14 0NA,E00033309,24,86
L14 0NA: E00033658,L14 0NA,E00033658,4,14
L14 2HB: E00033626,L14 2HB,E00033626,74,94
L14 2HB: E00033647,L14 2HB,E00033647,5,6
L14 3LF: E00033352,L14 3LF,E00033352,28,34
L14 3LF: E00165759,L14 3LF,E00165759,54,66
L14 3LP: E00033327,L14 3LP,E00033327,61,94
L14 3LP: E00033353,L14 3LP,E00033353,4,6
L14 3NP: E00033355,L14 3NP,E00033355,7,9
L14 3NP: E00034340,L14 3NP,E00034340,70,91
L14 3NQ: E00033317,L14 3NQ,E00033317,3,2
L14 3NQ: E00033355,L14 3NQ,E00033355,132,98
L14 4AE: E00033639,L14 4AE,E00033639,5,16
L14 4AE: E00033640,L14 4AE,E00033640,26,84
L14 4AY: E00033644,L14 4AY,E00033644,12,20
L14 4AY: E00033646,L14 4AY,E00033646,49,80
L14 4BE: E00033291,L14 4BE,E00033291,64,63
L14 4BE: E00033645,L14 4BE,E00033645,37,37
L14 4ED: E00033624,L14 4ED,E00033624,25,86
L14 4ED: E00033634,L14 4ED,E00033634,4,14
L14 5ND: E00033266,L14 5ND,E00033266,9,25
L14 5ND: E00033294,L14 5ND,E00033294,27,75
L14 5NP: E00176750,L14 5NP,E00176750,2,3
L14 5NP: E00176754,L14 5NP,E00176754,73,97
L14 5NT: E00032881,L14 5NT,E00032881,12,15
L14 5NT: E00165758,L14 5NT,E00165758,64,81
L14 5NT: E00165760,L14 5NT,E00165760,3,4
L14 5NZ: E00033350,L14 5NZ,E00033350,39,67
L14 5NZ: E00165759,L14 5NZ,E00165759,19,33
L14 6TU: E00032802,L14 6TU,E00032802,9,13
L14 6TU: E00032870,L14 6TU,E00032870,63,88
L14 6TX: E00032802,L14 6TX,E00032802,2,6
L14 6TX: E00032870,L14 6TX,E00032870,31,94
L14 7NX: E00032881,L14 7NX,E00032881,20,37
L14 7NX: E00165758,L14 7NX,E00165758,34,63
L14 7PH: E00033297,L14 7PH,E00033297,40,93
L14 7PH: E00033305,L14 7PH,E00033305,3,7
L14 7QA: E00033297,L14 7QA,E00033297,9,33
L14 7QA: E00033305,L14 7QA,E00033305,18,67
L14 7QD: E00032871,L14 7QD,E00032871,30,71
L14 7QD: E00033305,L14 7QD,E00033305,12,29
L14 8YN: E00033632,L14 8YN,E00033632,10,83
L14 8YN: E00033634,L14 8YN,E00033634,2,17
L14 9LP: E00033627,L14 9LP,E00033627,8,7
L14 9LP: E00033649,L14 9LP,E00033649,100,93
L14 9LR: E00033627,L14 9LR,E00033627,106,73
L14 9LR: E00033649,L14 9LR,E00033649,40,27
L14 9NH: E00032787,L14 9NH,E00032787,53,52
L14 9NH: E00033637,L14 9NH,E00033637,49,48
L14 9PH: E00033265,L14 9PH,E00033265,15,60
L14 9PH: E00033307,L14 9PH,E00033307,10,40
L14 9QT: E00033637,L14 9QT,E00033637,68,69
L14 9QT: E00033640,L14 9QT,E00033640,30,31
L14 9QZ: E00033637,L14 9QZ,E00033637,9,33
L14 9QZ: E00033640,L14 9QZ,E00033640,18,67
L1  4AL: E00176635,L1  4AL,E00176635,15,83
L1  4AL: E00176658,L1  4AL,E00176658,3,17
L1  4AR: E00176635,L1  4AR,E00176635,13,18
L1  4AR: E00176658,L1  4AR,E00176658,60,82
L1  4DE: E00176658,L1  4DE,E00176658,31,39
L1  4DE: E00176737,L1  4DE,E00176737,49,61
L1  4DQ: E00176658,L1  4DQ,E00176658,46,42
L1  4DQ: E00176737,L1  4DQ,E00176737,64,58
L1  4HY: E00176658,L1  4HY,E00176658,3,43
L1  4HY: E00176737,L1  4HY,E00176737,4,57
L1  4JQ: E00176619,L1  4JQ,E00176619,12,75
L1  4JQ: E00176692,L1  4JQ,E00176692,4,25
L15 0AB: E00034074,L15 0AB,E00034074,41,28
L15 0AB: E00034081,L15 0AB,E00034081,108,72
L15 0EB: E00033213,L15 0EB,E00033213,14,28
L15 0EB: E00034094,L15 0EB,E00034094,36,72
L15 0EF: E00034062,L15 0EF,E00034062,121,99
L15 0EF: E00034081,L15 0EF,E00034081,1,1
L15 0EG: E00034073,L15 0EG,E00034073,57,93
L15 0EG: E00034087,L15 0EG,E00034087,4,7
L15 0EJ: E00033213,L15 0EJ,E00033213,7,9
L15 0EJ: E00034094,L15 0EJ,E00034094,68,91
L15 0EZ: E00034074,L15 0EZ,E00034074,81,82
L15 0EZ: E00034079,L15 0EZ,E00034079,18,18
L15 0HB: E00034074,L15 0HB,E00034074,77,96
L15 0HB: E00034085,L15 0HB,E00034085,3,4
L15 1EP: E00034072,L15 1EP,E00034072,27,93
L15 1EP: E00034105,L15 1EP,E00034105,2,7
L15 1HA: E00034069,L15 1HA,E00034069,30,86
L15 1HA: E00034076,L15 1HA,E00034076,5,14
L15 1HF: E00034105,L15 1HF,E00034105,1,1
L15 1HF: E00034107,L15 1HF,E00034107,75,99
L15 1HW: E00034063,L15 1HW,E00034063,2,1
L15 1HW: E00034069,L15 1HW,E00034069,167,99
L15 2HD: E00033210,L15 2HD,E00033210,9,11
L15 2HD: E00034063,L15 2HD,E00034063,76,89
L15 2HH: E00034073,L15 2HH,E00034073,3,3
L15 2HH: E00034091,L15 2HH,E00034091,106,97
L15 2HN: E00034073,L15 2HN,E00034073,4,3
L15 2HN: E00034090,L15 2HN,E00034090,114,97
L15 2HS: E00034063,L15 2HS,E00034063,1,1
L15 2HS: E00034087,L15 2HS,E00034087,124,99
L15 2HY: E00034076,L15 2HY,E00034076,90,96
L15 2HY: E00034084,L15 2HY,E00034084,4,4
L15 2JA: E00034070,L15 2JA,E00034070,4,24
L15 2JA: E00034084,L15 2JA,E00034084,13,76
L15 3HH: E00033191,L15 3HH,E00033191,150,86
L15 3HH: E00176611,L15 3HH,E00176611,25,14
L15 3HP: E00033191,L15 3HP,E00033191,210,99
L15 3HP: E00176613,L15 3HP,E00176613,3,1
L15 3HT: E00034081,L15 3HT,E00034081,8,5
L15 3HT: E00034096,L15 3HT,E00034096,163,95
L15 3JH: E00033192,L15 3JH,E00033192,89,24
L15 3JH: E00034064,L15 3JH,E00034064,286,76
L15 3JJ: E00033191,L15 3JJ,E00033191,1,1
L15 3JJ: E00033192,L15 3JJ,E00033192,4,3
L15 3JJ: E00176611,L15 3JJ,E00176611,9,7
L15 3JJ: E00176612,L15 3JJ,E00176612,27,22
L15 3JJ: E00176613,L15 3JJ,E00176613,82,67
L15 3JL: E00176614,L15 3JL,E00176614,59,65
L15 3JL: E00176702,L15 3JL,E00176702,32,35
L15 3JR: E00176611,L15 3JR,E00176611,25,69
L15 3JR: E00176613,L15 3JR,E00176613,11,31
L15 3LA: E00033192,L15 3LA,E00033192,129,39
L15 3LA: E00034064,L15 3LA,E00034064,204,61
L15 4HD: E00034067,L15 4HD,E00034067,3,6
L15 4HD: E00034106,L15 4HD,E00034106,46,94
L15 4HU: E00033387,L15 4HU,E00033387,32,33
L15 4HU: E00034106,L15 4HU,E00034106,64,67
L15 4JA: E00033372,L15 4JA,E00033372,63,61
L15 4JA: E00034065,L15 4JA,E00034065,41,39
L15 4JE: E00033372,L15 4JE,E00033372,21,27
L15 4JE: E00034065,L15 4JE,E00034065,56,73
L15 4JN: E00034078,L15 4JN,E00034078,88,99
